code,name,name_clean,name_search,scie,grup,food_category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water,ash,protein_percent,carbs_percent,fat_percent,fasat,fauns,fapu,cholc,ca,fe,mg,p,k,na,zn,vita,vitc,vitd,vite,thia,ribf,nia,vitb6c,folsum,fsugar,protein_density,fiber_density,search_keywords,tags,regn
D042,"Corn, baby","corn, baby",corn baby,Zea mays,Other Vegetables,Vegetables,306.0,2.69,11.66,1.33,6.09,75.44,2.79,17.2,74.4,8.5,0.211,0.851,0.459,0.0,0.077,0.001,0.025,0.009,0.26,0.001,0.001,0.0,0.009,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.49,0.88,1.99,corn baby vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D043,"Cucumber, green, elongate","cucumber, green, elongate",cucumber green elongate,Cucumis sativus,Other Vegetables,Vegetables,82.0,0.71,3.48,0.16,2.14,92.96,0.54,16.3,80.0,3.7,0.064,0.078,0.068,0.0,0.016,0.0,0.02,0.028,0.183,0.006,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.87,2.61,cucumber green elongate vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D044,"Cucumber, green, short","cucumber, green, short",cucumber green short,Cucumis sativus,Other Vegetables,Vegetables,73.0,0.83,2.82,0.18,2.13,93.52,0.52,21.7,73.6,4.7,0.068,0.06,0.052,0.0,0.019,0.001,0.018,0.03,0.198,0.006,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.14,2.92,cucumber green short vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D045,"Cucumber, orange, round","cucumber, orange, round",cucumber orange round,Cucumis sativus,Other Vegetables,Vegetables,82.0,0.98,3.01,0.24,2.46,92.8,0.52,23.2,71.2,5.7,0.072,0.076,0.069,0.0,0.022,0.0,0.02,0.023,0.185,0.008,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.2,3.0,cucumber orange round vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
D046,Drumstick,drumstick,drumstick,Moringa oleifera,Other Vegetables,Vegetables,123.0,2.62,3.76,0.12,6.83,85.39,1.27,40.3,57.8,1.8,0.029,0.074,0.027,0.0,0.033,0.001,0.038,0.053,0.419,0.022,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.47,2.13,5.55,drumstick vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D047,"Field beans, tender, broad","field beans, tender, broad",field beans tender broad,Phaseolus vulgaris,Other Vegetables,Vegetables,129.0,3.06,2.75,0.64,5.64,86.98,0.94,47.4,42.6,9.9,0.182,0.335,0.301,0.0,0.071,0.002,0.051,0.073,0.345,0.014,0.001,0.001,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,2.37,4.37,field beans tender broad vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
D048,"Field beans, tender, lean","field beans, tender, lean",field beans tender lean,Phaseolus vulgaris,Other Vegetables,Vegetables,140.0,3.71,2.85,0.6,6.19,85.57,1.08,51.8,39.8,8.4,0.175,0.307,0.281,0.0,0.059,0.001,0.047,0.077,0.314,0.013,0.001,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,2.65,4.42,field beans tender lean vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D049,"French beans, country","french beans, country",french beans country,Phaseolus vulgaris,Other Vegetables,Vegetables,102.0,2.49,2.68,0.26,4.38,89.14,1.05,45.9,49.4,4.8,0.071,0.138,0.127,0.0,0.056,0.001,0.043,0.06,0.324,0.009,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.06,2.44,4.29,french beans country vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
D050,"French beans, hybrid","french beans, hybrid",french beans hybrid,Phaseolus vulgaris,Other Vegetables,Vegetables,93.0,2.12,2.63,0.19,4.18,90.11,0.77,42.9,53.2,3.8,0.067,0.147,0.135,0.0,0.05,0.001,0.035,0.046,0.317,0.009,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.0,2.28,4.49,french beans hybrid vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
D051,"Jack fruit, raw","jack fruit, raw",jack fruit raw,Artocarpus heterophyllus,Other Vegetables,Vegetables,110.0,1.98,3.48,0.35,7.69,85.52,0.99,34.1,59.9,6.0,0.047,0.222,0.107,0.0,0.046,0.0,0.027,0.028,0.327,0.004,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,1.8,6.99,jack fruit raw vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
D052,"Jack fruit, seeds, mature","jack fruit, seeds, mature",jack fruit seeds mature,Artocarpus heterophyllus,Other Vegetables,Vegetables,322.0,5.79,11.81,0.44,8.63,72.32,1.02,32.1,65.5,2.4,0.146,0.197,0.181,0.0,0.038,0.0,0.037,0.029,0.376,0.004,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,1.8,2.68,jack fruit seeds mature vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
D053,Knol - Khol,knol - khol,knol khol,Brassica oleracea,Other Vegetables,Vegetables,67.0,1.58,1.39,0.35,2.75,93.14,0.79,47.6,41.9,10.5,0.097,0.162,0.13,0.0,0.035,0.0,0.019,0.041,0.327,0.027,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2.36,4.1,knol khol vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D054,"Kovai, big","kovai, big",kovai big,Coccinia cordifolia,Other Vegetables,Vegetables,73.0,1.39,2.01,0.24,3.0,92.78,0.58,38.2,55.2,6.6,0.069,0.103,0.099,0.0,0.034,0.0,0.02,0.037,0.198,0.002,0.0,0.0,0.018,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.98,1.9,4.11,kovai big vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D055,"Kovai, small","kovai, small",kovai small,Coccinia cordifolia,Other Vegetables,Vegetables,80.0,1.22,2.41,0.24,3.25,92.4,0.47,31.5,62.3,6.2,0.075,0.117,0.112,0.0,0.037,0.0,0.019,0.026,0.167,0.002,0.0,0.0,0.021,0.0,0.001,0.0,0.0,0.001,0.0,0.0,1.07,1.52,4.06,kovai small vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
D056,Ladies finger,ladies finger,ladies finger,Abelmoschus esculentus,Other Vegetables,Vegetables,115.0,2.08,3.62,0.22,4.08,89.06,0.94,35.1,61.1,3.7,0.069,0.117,0.109,0.0,0.086,0.001,0.066,0.057,0.263,0.007,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.48,1.81,3.55,ladies finger vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D057,"Mango, green, raw","mango, green, raw",mango green raw,Mangifera indica,Other Vegetables,Vegetables,205.0,0.69,10.59,0.08,3.01,85.14,0.49,6.1,93.2,0.7,0.027,0.039,0.03,0.0,0.027,0.0,0.018,0.015,0.147,0.033,0.0,0.0,0.09,0.0,0.001,0.0,0.0,0.0,0.0,0.0,2.42,0.34,1.47,mango green raw vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D058,"Onion, stalk","onion, stalk",onion stalk,Allium wakegi,Other Vegetables,Vegetables,107.0,2.07,2.99,0.26,5.21,88.35,1.13,38.9,56.2,4.9,0.092,0.104,0.099,0.0,0.031,0.003,0.067,0.029,0.312,0.016,0.001,0.001,0.027,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.41,1.93,4.87,onion stalk vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D059,"Papaya, raw","papaya, raw",papaya raw,Carica papaya,Other Vegetables,Vegetables,100.0,0.5,4.4,0.23,2.28,92.04,0.55,9.7,85.8,4.5,0.069,0.12,0.076,0.0,0.023,0.0,0.015,0.024,0.173,0.008,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.5,2.28,papaya raw vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D060,Parwar,parwar,parwar,Trichosanthes dioica,Other Vegetables,Vegetables,101.0,1.4,3.54,0.3,2.61,91.57,0.59,26.7,67.6,5.7,0.096,0.125,0.112,0.0,0.031,0.0,0.025,0.034,0.117,0.002,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.37,1.39,2.58,parwar vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D061,"Peas, fresh","peas, fresh",peas fresh,Pisum sativum,Other Vegetables,Vegetables,340.0,7.25,11.88,0.13,6.32,73.37,1.05,37.6,61.7,0.7,0.019,0.085,0.056,0.0,0.028,0.002,0.04,0.056,0.249,0.004,0.001,0.0,0.038,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.97,2.13,1.86,peas fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D062,"Plantain, flower","plantain, flower",plantain flower,Musa sapientum,Other Vegetables,Vegetables,89.0,1.47,2.15,0.63,5.25,89.14,1.35,34.6,50.6,14.8,0.273,0.23,0.198,0.0,0.034,0.0,0.04,0.047,0.488,0.008,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.65,5.9,plantain flower vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D063,"Plantain, green","plantain, green",plantain green,Musa sapientum,Other Vegetables,Vegetables,334.0,1.18,17.58,0.23,3.6,76.15,1.27,6.2,92.6,1.2,0.057,0.123,0.107,0.0,0.014,0.0,0.036,0.032,0.402,0.019,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.35,1.08,plantain green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D064,"Plantain, stem","plantain, stem",plantain stem,Musa sapientum,Other Vegetables,Vegetables,165.0,0.35,8.64,0.16,2.12,87.53,1.2,3.8,94.4,1.7,0.027,0.031,0.028,0.0,0.011,0.0,0.033,0.016,0.373,0.023,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.21,1.28,plantain stem vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D065,"Pumpkin, green, cylindrical","pumpkin, green, cylindrical",pumpkin green cylindrical,Cucurbita maxima,Other Vegetables,Vegetables,103.0,0.87,4.22,0.18,2.53,91.73,0.47,16.5,80.1,3.4,0.053,0.091,0.066,0.0,0.024,0.0,0.013,0.025,0.186,0.005,0.0,0.0,0.007,0.0,0.001,0.0,0.0,0.0,0.0,0.0,2.9,0.84,2.46,pumpkin green cylindrical vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
D066,"Pumpkin, orange, round","pumpkin, orange, round",pumpkin orange round,Cucurbita maxima,Other Vegetables,Vegetables,97.0,0.84,4.0,0.16,2.56,91.85,0.58,16.8,80.0,3.2,0.045,0.085,0.063,0.0,0.023,0.0,0.01,0.022,0.253,0.009,0.0,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,2.97,0.87,2.64,pumpkin orange round vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D067,"Red gram, tender, fresh","red gram, tender, fresh",red gram tender fresh,Cajanus cajan,Other Vegetables,Vegetables,520.0,8.09,19.46,0.92,5.9,64.0,1.64,28.4,68.4,3.2,0.211,0.525,0.474,0.0,0.059,0.001,0.057,0.141,0.616,0.003,0.001,0.0,0.015,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.55,1.56,1.13,red gram tender fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
D068,Ridge gourd,ridge gourd,ridge gourd,Luffa acutangula,Other Vegetables,Vegetables,55.0,0.91,1.72,0.14,1.81,94.99,0.44,32.9,62.1,5.1,0.054,0.058,0.055,0.0,0.014,0.0,0.016,0.033,0.118,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.65,3.29,ridge gourd vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D069,"Ridge gourd, smooth skin","ridge gourd, smooth skin",ridge gourd smooth skin,Luffa acutangula,Other Vegetables,Vegetables,64.0,0.98,2.24,0.13,1.85,94.27,0.53,29.3,66.9,3.9,0.043,0.061,0.058,0.0,0.015,0.0,0.018,0.039,0.125,0.006,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.53,2.89,ridge gourd smooth skin vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
D070,"Snake gourd, long, pale green","snake gourd, long, pale green",snake gourd long pale green,Trichosanthes anguina,Other Vegetables,Vegetables,52.0,0.98,1.27,0.25,2.27,94.81,0.42,39.2,50.8,10.0,0.095,0.102,0.098,0.0,0.025,0.0,0.019,0.023,0.1,0.007,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.88,4.37,snake gourd long pale green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D071,"Snake gourd, long, dark green","snake gourd, long, dark green",snake gourd long dark green,Trichosanthes anguina,Other Vegetables,Vegetables,50.0,0.89,1.23,0.25,2.27,94.92,0.45,37.6,51.9,10.5,0.096,0.104,0.099,0.0,0.027,0.0,0.022,0.031,0.104,0.005,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.78,4.54,snake gourd long dark green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
D072,"Snake gourd, short","snake gourd, short",snake gourd short,Trichosanthes anguina,Other Vegetables,Vegetables,61.0,0.54,2.15,0.26,2.29,94.35,0.41,18.3,72.9,8.8,0.1,0.108,0.105,0.0,0.018,0.0,0.015,0.021,0.084,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.89,3.75,snake gourd short vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
D073,"Tinda, tender","tinda, tender",tinda tender,Praecitrullus fistulosus,Other Vegetables,Vegetables,58.0,1.02,1.9,0.17,2.0,94.41,0.51,33.0,61.5,5.5,0.049,0.082,0.076,0.0,0.02,0.0,0.019,0.03,0.056,0.021,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.44,1.76,3.45,tinda tender vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D074,"Tomato, green","tomato, green",tomato green,Solanum lycopersicum,Other Vegetables,Vegetables,87.0,1.12,3.18,0.27,1.62,93.21,0.6,24.5,69.6,5.9,0.047,0.146,0.109,0.0,0.008,0.0,0.014,0.022,0.225,0.013,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.29,1.86,tomato green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D075,"Tomato, ripe, hybrid","tomato, ripe, hybrid",tomato ripe hybrid,Solanum lycopersicum,Other Vegetables,Vegetables,79.0,0.76,3.2,0.25,1.58,93.79,0.43,18.1,76.0,5.9,0.048,0.15,0.119,0.0,0.009,0.0,0.012,0.015,0.167,0.012,0.0,0.002,0.025,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.82,0.96,2.0,tomato ripe hybrid vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D076,"Tomato, ripe, local","tomato, ripe, local",tomato ripe local,Solanum lycopersicum,Other Vegetables,Vegetables,82.0,0.9,2.71,0.47,1.77,93.62,0.52,22.1,66.4,11.5,0.08,0.267,0.208,0.0,0.01,0.0,0.014,0.019,0.204,0.01,0.0,0.001,0.027,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.34,1.1,2.16,tomato ripe local vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
D077,"Zucchini, green","zucchini, green",zucchini green,Cucurbita pepo,Other Vegetables,Vegetables,84.0,1.1,2.33,0.51,2.3,92.83,0.93,27.9,59.1,12.9,0.119,0.289,0.251,0.0,0.017,0.001,0.015,0.021,0.178,0.0,0.0,0.0,0.016,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.14,1.31,2.74,zucchini green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
D078,"Zucchini, yellow","zucchini, yellow",zucchini yellow,Cucurbita pepo,Other Vegetables,Vegetables,79.0,1.31,2.2,0.44,1.84,93.15,1.08,33.2,55.7,11.1,0.057,0.135,0.114,0.0,0.021,0.0,0.011,0.032,0.131,0.0,0.0,0.0,0.017,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.29,1.66,2.33,zucchini yellow vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
E001,"Apple, big","apple, big",apple big,Malus domestica,Fruits,Fruits,261.0,0.29,13.11,0.64,2.59,83.01,0.36,2.1,93.4,4.6,0.154,0.333,0.282,0.0,0.014,0.0,0.008,0.01,0.116,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53,0.11,0.99,apple big vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E002,"Apple, green","apple, green",apple green,Malus domestica,Fruits,Fruits,214.0,0.46,10.65,0.5,2.54,85.54,0.31,4.0,91.7,4.3,0.116,0.264,0.223,0.0,0.007,0.0,0.005,0.007,0.095,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.21,1.19,apple green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E003,"Apple, small","apple, small",apple small,Malus domestica,Fruits,Fruits,267.0,0.31,13.95,0.53,2.06,82.91,0.24,2.1,94.3,3.6,0.149,0.271,0.224,0.0,0.005,0.0,0.005,0.008,0.1,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.12,0.77,apple small vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E004,"Apple, small, Kashmir","apple, small, kashmir",apple small kashmir,Malus domestica,Fruits,Fruits,269.0,0.27,13.99,0.6,2.07,82.79,0.29,1.8,94.1,4.0,0.176,0.304,0.253,0.0,0.005,0.0,0.005,0.011,0.106,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.1,0.77,apple small kashmir vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E005,"Apricot, dried","apricot, dried",apricot dried,Prunus armeniaca,Fruits,Fruits,1321.0,3.17,72.63,0.74,3.32,16.68,3.46,4.1,94.9,1.0,0.2,0.404,0.286,0.0,0.029,0.002,0.014,0.072,0.285,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,25.72,0.24,0.25,apricot dried vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E006,"Apricot, processed","apricot, processed",apricot processed,Prunus armeniaca,Fruits,Fruits,236.0,1.47,10.93,0.64,0.59,85.75,0.61,11.3,83.8,4.9,0.185,0.342,0.319,0.0,0.005,0.001,0.004,0.027,0.095,0.002,0.0,0.001,0.008,0.0,0.0,0.0,0.0,0.001,0.0,0.0,4.36,0.62,0.25,apricot processed vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
E007,Avocado fruit,avocado fruit,avocado fruit,Persea  americana,Fruits,Fruits,604.0,2.95,1.75,13.86,6.69,73.56,1.19,15.9,9.4,74.7,1.237,9.851,1.141,0.0,0.028,0.001,0.048,0.063,0.377,0.003,0.001,0.0,0.009,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.65,0.49,1.11,avocado fruit vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E008,Bael fruit,bael fruit,bael fruit,Aegle marmelos,Fruits,Fruits,569.0,2.63,28.21,0.57,6.31,61.36,0.91,8.4,89.8,1.8,0.19,0.266,0.154,0.0,0.048,0.0,0.034,0.037,0.409,0.002,0.0,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,16.35,0.46,1.11,bael fruit vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E009,"Banana, ripe, montham","banana, ripe, montham",banana ripe montham,Musa x paradisiaca,Fruits,Fruits,463.0,1.25,24.95,0.32,2.21,70.13,1.15,4.7,94.1,1.2,0.11,0.146,0.132,0.0,0.007,0.0,0.03,0.021,0.362,0.001,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.001,0.0,14.9,0.27,0.48,banana ripe montham vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E010,"Banana, ripe, poovam","banana, ripe, poovam",banana ripe poovam,Musa x paradisiaca,Fruits,Fruits,445.0,1.49,23.41,0.35,2.33,71.32,1.09,5.9,92.7,1.4,0.113,0.167,0.135,0.0,0.009,0.0,0.044,0.034,0.335,0.001,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.33,0.52,banana ripe poovam vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
E011,"Banana, ripe, red","banana, ripe, red",banana ripe red,Musa paradisiaca,Fruits,Fruits,467.0,1.29,25.21,0.29,1.98,70.28,0.95,4.8,94.1,1.1,0.106,0.126,0.108,0.0,0.01,0.0,0.031,0.023,0.313,0.001,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.57,0.28,0.42,banana ripe red vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E012,"Banana, ripe, robusta","banana, ripe, robusta",banana ripe robusta,Musa x paradisiaca,Fruits,Fruits,440.0,1.23,23.63,0.33,1.94,71.93,0.94,4.9,93.8,1.3,0.114,0.148,0.127,0.0,0.005,0.0,0.035,0.024,0.306,0.001,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65,0.28,0.44,banana ripe robusta vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E013,Black berry,black berry,black berry,Rubus sp.,Fruits,Fruits,227.0,0.92,10.64,0.63,4.35,82.94,0.52,7.5,87.3,5.2,0.195,0.322,0.234,0.0,0.024,0.001,0.031,0.02,0.205,0.001,0.0,0.0,0.019,0.0,0.001,0.0,0.0,0.0,0.0,0.0,7.61,0.41,1.92,black berry vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
E014,"Cherries, red","cherries, red",cherries red,Prunus avium,Fruits,Fruits,250.0,1.49,11.87,0.46,2.12,83.61,0.45,10.8,85.9,3.3,0.125,0.283,0.187,0.0,0.024,0.0,0.014,0.025,0.165,0.002,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72,0.6,0.85,cherries red vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
E015,"Currants, black","currants, black",currants black,Ribes nigrum,Fruits,Fruits,227.0,1.51,9.93,0.53,4.07,83.27,0.69,12.6,83.0,4.4,0.083,0.341,0.039,0.0,0.04,0.001,0.017,0.079,0.283,0.001,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.67,1.79,currants black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E016,Custard apple,custard apple,custard apple,Annona squamosa,Fruits,Fruits,414.0,1.62,20.38,0.67,5.1,71.55,0.68,7.1,89.9,3.0,0.138,0.172,0.132,0.0,0.028,0.0,0.038,0.041,0.278,0.003,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.001,0.0,0.0,13.35,0.39,1.23,custard apple vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
E017,"Dates, dry, pale brown","dates, dry, pale brown",dates dry pale brown,Phoenix dactylifera,Fruits,Fruits,1340.0,2.45,74.91,0.35,8.95,11.14,2.2,3.2,96.4,0.5,0.097,0.189,0.159,0.0,0.071,0.003,0.074,0.073,0.804,0.003,0.001,0.003,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.0,66.63,0.18,0.67,dates dry pale brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E018,"Dates, dry, dark brown","dates, dry, dark brown",dates dry dark brown,Phoenix dactylifera,Fruits,Fruits,1301.0,2.38,72.67,0.35,9.1,13.13,2.39,3.2,96.4,0.5,0.114,0.166,0.145,0.0,0.066,0.005,0.075,0.07,0.782,0.003,0.001,0.003,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.0,68.84,0.18,0.7,dates dry dark brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
E019,"Dates, processed","dates, processed",dates processed,Phoenix dactylifera,Fruits,Fruits,1197.0,1.18,67.95,0.41,6.52,22.01,1.93,1.7,97.7,0.6,0.149,0.183,0.136,0.0,0.016,0.001,0.014,0.034,0.289,0.002,0.0,0.003,0.016,0.0,0.0,0.0,0.0,0.001,0.0,0.0,56.96,0.1,0.54,dates processed vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
E020,Fig,fig,fig,Ficus Carica,Fruits,Fruits,341.0,2.03,16.28,0.37,4.64,75.6,1.08,10.9,87.2,2.0,0.089,0.138,0.097,0.0,0.079,0.001,0.026,0.022,0.231,0.002,0.0,0.0,0.017,0.0,0.001,0.0,0.0,0.0,0.0,0.0,8.64,0.6,1.36,fig vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
E021,Goosberry,goosberry,goosberry,Emblica officinalis,Fruits,Fruits,99.0,0.34,4.39,0.16,7.75,87.02,0.34,7.0,89.8,3.3,0.038,0.099,0.075,0.0,0.02,0.001,0.006,0.022,0.223,0.001,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.34,7.83,goosberry vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
E022,"Grapes, seeded, round, black","grapes, seeded, round, black",grapes seeded round black,Vitis vinifera,Fruits,Fruits,254.0,0.76,13.23,0.32,1.35,83.88,0.46,5.3,92.5,2.2,0.106,0.152,0.139,0.0,0.011,0.0,0.007,0.021,0.171,0.002,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,0.3,0.53,grapes seeded round black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
E023,"Grapes, seeded, round, green","grapes, seeded, round, green",grapes seeded round green,Vitis vinifera,Fruits,Fruits,235.0,0.77,12.19,0.29,1.25,85.07,0.43,5.8,92.0,2.2,0.092,0.13,0.119,0.0,0.011,0.0,0.007,0.02,0.166,0.002,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,0.33,0.53,grapes seeded round green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
E024,"Grapes, seeded, round, red","grapes, seeded, round, red",grapes seeded round red,Vitis vinifera,Fruits,Fruits,244.0,0.95,12.55,0.29,1.28,84.46,0.48,6.9,91.0,2.1,0.092,0.135,0.123,0.0,0.011,0.0,0.007,0.028,0.188,0.002,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47,0.39,0.52,grapes seeded round red vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
